LeftStim,RightStim,CombinedStim,GapL,GapR,GapUL,GapDL,GapUR,GapDR,CurveSegL,CurveSegR,CurveSegUL,CurveSegDL,CurveSegUR,CurveSegDR,PreSwitchUL,IndicatorUL,PreSwitchDL,IndicatorDL,PreSwitchUR,IndicatorUR,PreSwitchDR,IndicatorDR
CircleDL,BlankR,CircleDL+BlankR,0,0,0,0,0,0,0,0,0,0,0,0,,,Circle,Circle,,,,
CircleDiamondUL,BlankR,CircleDiamondUL+BlankR,0,0,0,0,0,0,0,0,0,0,0,0,Circle,Circle,,,,,,
CurveSegDL,BlankR,CurveSegDL+BlankR,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,
CurveSegUL,BlankR,CurveSegUL+BlankR,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,
GapDL,BlankR,GapDL+BlankR,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
GapL,BlankR,GapL+BlankR,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
GapUL,BlankR,GapUL+BlankR,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
BlankL,CircleDR,BlankL+CircleDR,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Circle,Circle
BlankL,CircleUR,BlankL+CircleUR,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Circle,Circle,,
BlankL,CurveSegDR,BlankL+CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,
BlankL,CurveSegUR,BlankL+CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,
BlankL,GapDR,BlankL+GapDR,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,
BlankL,GapR,BlankL+GapR,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
BlankL,GapUR,BlankL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
CircleDL,CircleDR,CircleDL+CircleDR,0,0,0,0,0,0,0,0,0,0,0,0,,,Circle,Circle,,,Circle,Circle
CircleUL,CircleDR,CircleUL+CircleDR,0,0,0,0,0,0,0,0,0,0,0,0,Circle,Circle,,,,,Circle,Circle
CurveSegDL,CircleDR,CurveSegDL+CircleDR,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,Circle,Circle
CurveSegUL,CircleDR,CurveSegUL+CircleDR,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,Circle,Circle
GapDL,CircleDR,GapDL+CircleDR,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,Circle,Circle
GapL,CircleDR,GapL+CircleDR,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Circle,Circle
GapUL,CircleDR,GapUL+CircleDR,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,Circle,Circle
CircleDL,CircleUR,CircleDL+CircleUR,0,0,0,0,0,0,0,0,0,0,0,0,,,Circle,Circle,Circle,Circle,,
