TargetLoc,LeftStim,RightStim,CombinedStim,GapL,GapR,GapUL,GapDL,GapUR,GapDR,CurveSegL,CurveSegR,CurveSegUL,CurveSegDL,CurveSegUR,CurveSegDR,IndicatorCenter,TargetShape,iTargetShape,PreSwitchUL,IndicatorUL,PreSwitchDL,IndicatorDL,PreSwitchUR,IndicatorUR,PreSwitchDR,IndicatorDR
Center,CircleDiamondDL,GapR,CircleDiamondDL+GapR,0,1,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,Circle,Diamond,,,,
Center,CircleDiamondUL,GapR,CircleDiamondUL+GapR,0,1,0,0,0,0,0,0,0,0,0,0,Square,Square,1,Circle,Diamond,,,,,,
Center,CircleSquareDL,GapR,CircleSquareDL+GapR,0,1,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,Circle,Square,,,,
Center,CircleSquareUL,GapR,CircleSquareUL+GapR,0,1,0,0,0,0,0,0,0,0,0,0,Square,Square,1,Circle,Square,,,,,,
Center,CurveSegDL,GapR,CurveSegDL+GapR,0,1,0,0,0,0,0,0,0,1,0,0,Square,Square,1,,,,,,,,
Center,CurveSegUL,GapR,CurveSegUL+GapR,0,1,0,0,0,0,0,0,1,0,0,0,Square,Square,1,,,,,,,,
Center,GapDL,GapR,GapDL+GapR,0,1,0,1,0,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,GapL,GapR,GapL+GapR,1,1,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,GapUL,GapR,GapUL+GapR,0,1,1,0,0,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,CircleDiamondDL,GapUR,CircleDiamondDL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Square,Square,1,,,Circle,Diamond,,,,
Center,CircleDiamondUL,GapUR,CircleDiamondUL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Square,Square,1,Circle,Diamond,,,,,,
Center,CircleSquareDL,GapUR,CircleSquareDL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Square,Square,1,,,Circle,Square,,,,
Center,CircleSquareUL,GapUR,CircleSquareUL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Square,Square,1,Circle,Square,,,,,,
Center,CurveSegDL,GapUR,CurveSegDL+GapUR,0,0,0,0,1,0,0,0,0,1,0,0,Square,Square,1,,,,,,,,
Center,CurveSegUL,GapUR,CurveSegUL+GapUR,0,0,0,0,1,0,0,0,1,0,0,0,Square,Square,1,,,,,,,,
Center,GapDL,GapUR,GapDL+GapUR,0,0,0,1,1,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,GapL,GapUR,GapL+GapUR,1,0,0,0,1,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,GapUL,GapUR,GapUL+GapUR,0,0,1,0,1,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,CircleDiamondDL,GapDR,CircleDiamondDL+GapDR,0,0,0,0,0,1,0,0,0,0,0,0,Square,Square,1,,,Circle,Diamond,,,,
Center,CircleDiamondUL,GapDR,CircleDiamondUL+GapDR,0,0,0,0,0,1,0,0,0,0,0,0,Square,Square,1,Circle,Diamond,,,,,,
Center,CircleSquareDL,GapDR,CircleSquareDL+GapDR,0,0,0,0,0,1,0,0,0,0,0,0,Square,Square,1,,,Circle,Square,,,,
Center,CircleSquareUL,GapDR,CircleSquareUL+GapDR,0,0,0,0,0,1,0,0,0,0,0,0,Square,Square,1,Circle,Square,,,,,,
Center,CurveSegDL,GapDR,CurveSegDL+GapDR,0,0,0,0,0,1,0,0,0,1,0,0,Square,Square,1,,,,,,,,
Center,CurveSegUL,GapDR,CurveSegUL+GapDR,0,0,0,0,0,1,0,0,1,0,0,0,Square,Square,1,,,,,,,,
Center,GapDL,GapDR,GapDL+GapDR,0,0,0,1,0,1,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,GapL,GapDR,GapL+GapDR,1,0,0,0,0,1,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,GapUL,GapDR,GapUL+GapDR,0,0,1,0,0,1,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,CircleDiamondDL,CurveSegUR,CircleDiamondDL+CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Square,Square,1,,,Circle,Diamond,,,,
Center,CircleDiamondUL,CurveSegUR,CircleDiamondUL+CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Square,Square,1,Circle,Diamond,,,,,,
Center,CircleSquareDL,CurveSegUR,CircleSquareDL+CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Square,Square,1,,,Circle,Square,,,,
Center,CircleSquareUL,CurveSegUR,CircleSquareUL+CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Square,Square,1,Circle,Square,,,,,,
Center,CurveSegDL,CurveSegUR,CurveSegDL+CurveSegUR,0,0,0,0,0,0,0,0,0,1,1,0,Square,Square,1,,,,,,,,
Center,CurveSegUL,CurveSegUR,CurveSegUL+CurveSegUR,0,0,0,0,0,0,0,0,1,0,1,0,Square,Square,1,,,,,,,,
Center,GapDL,CurveSegUR,GapDL+CurveSegUR,0,0,0,1,0,0,0,0,0,0,1,0,Square,Square,1,,,,,,,,
Center,GapL,CurveSegUR,GapL+CurveSegUR,1,0,0,0,0,0,0,0,0,0,1,0,Square,Square,1,,,,,,,,
Center,GapUL,CurveSegUR,GapUL+CurveSegUR,0,0,1,0,0,0,0,0,0,0,1,0,Square,Square,1,,,,,,,,
Center,CircleDiamondDL,CurveSegDR,CircleDiamondDL+CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Square,Square,1,,,Circle,Diamond,,,,
Center,CircleDiamondUL,CurveSegDR,CircleDiamondUL+CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Square,Square,1,Circle,Diamond,,,,,,
Center,CircleSquareDL,CurveSegDR,CircleSquareDL+CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Square,Square,1,,,Circle,Square,,,,
Center,CircleSquareUL,CurveSegDR,CircleSquareUL+CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Square,Square,1,Circle,Square,,,,,,
Center,CurveSegDL,CurveSegDR,CurveSegDL+CurveSegDR,0,0,0,0,0,0,0,0,0,1,0,1,Square,Square,1,,,,,,,,
Center,CurveSegUL,CurveSegDR,CurveSegUL+CurveSegDR,0,0,0,0,0,0,0,0,1,0,0,1,Square,Square,1,,,,,,,,
Center,GapDL,CurveSegDR,GapDL+CurveSegDR,0,0,0,1,0,0,0,0,0,0,0,1,Square,Square,1,,,,,,,,
Center,GapL,CurveSegDR,GapL+CurveSegDR,1,0,0,0,0,0,0,0,0,0,0,1,Square,Square,1,,,,,,,,
Center,GapUL,CurveSegDR,GapUL+CurveSegDR,0,0,1,0,0,0,0,0,0,0,0,1,Square,Square,1,,,,,,,,
Center,CircleDiamondDL,CircleDiamondDR,CircleDiamondDL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,Circle,Diamond,Circle,Diamond,,
Center,CircleDiamondUL,CircleDiamondDR,CircleDiamondUL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,Circle,Diamond,,,Circle,Diamond,,
Center,CircleSquareDL,CircleDiamondDR,CircleSquareDL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,Circle,Square,Circle,Diamond,,
Center,CircleSquareUL,CircleDiamondDR,CircleSquareUL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,Circle,Square,,,Circle,Diamond,,
Center,CurveSegDL,CircleDiamondDR,CurveSegDL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,1,0,0,Square,Square,1,,,,,Circle,Diamond,,
Center,CurveSegUL,CircleDiamondDR,CurveSegUL+CircleDiamondDR,0,0,0,0,0,0,0,0,1,0,0,0,Square,Square,1,,,,,Circle,Diamond,,
Center,GapDL,CircleDiamondDR,GapDL+CircleDiamondDR,0,0,0,1,0,0,0,0,0,0,0,0,Square,Square,1,,,,,Circle,Diamond,,
Center,GapL,CircleDiamondDR,GapL+CircleDiamondDR,1,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,,,Circle,Diamond,,
Center,GapUL,CircleDiamondDR,GapUL+CircleDiamondDR,0,0,1,0,0,0,0,0,0,0,0,0,Square,Square,1,,,,,Circle,Diamond,,
Center,CircleDiamondDL,CircleDiamondUR,CircleDiamondDL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,Circle,Diamond,,,Circle,Diamond
Center,CircleDiamondUL,CircleDiamondUR,CircleDiamondUL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,Circle,Diamond,,,,,Circle,Diamond
Center,CircleSquareDL,CircleDiamondUR,CircleSquareDL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,Circle,Square,,,Circle,Diamond
Center,CircleSquareUL,CircleDiamondUR,CircleSquareUL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,Circle,Square,,,,,Circle,Diamond
Center,CurveSegDL,CircleDiamondUR,CurveSegDL+CircleDiamondUR,0,0,0,0,0,0,0,0,0,1,0,0,Square,Square,1,,,,,,,Circle,Diamond
