TargetLoc,LeftStim,RightStim,CombinedStim,GapL,GapR,GapUL,GapDL,GapUR,GapDR,CurveSegL,CurveSegR,CurveSegUL,CurveSegDL,CurveSegUR,CurveSegDR,IndicatorCenter,TargetShape,iTargetShape,PreSwitchUL,IndicatorUL,PreSwitchDL,IndicatorDL,PreSwitchUR,IndicatorUR,PreSwitchDR,IndicatorDR
Center,CurveSegDiamDL,CurveSegSqrUR,CurveSegDiamDL+CurveSegSqrUR,0,0,0,0,0,0,0,0,0,1,1,0,Square,Square,1,,,Circle,Diamond,Circle,Square,,
Center,CurveSegDiamUL,CurveSegSqrUR,CurveSegDiamUL+CurveSegSqrUR,0,0,0,0,0,0,0,0,1,0,1,0,Square,Square,1,Circle,Diamond,,,Circle,Square,,
Center,CurveSegDiamDL,CurveSegSqrDR,CurveSegDiamDL+CurveSegSqrDR,0,0,0,0,0,0,0,0,0,1,0,1,Square,Square,1,,,Circle,Diamond,,,Circle,Square
Center,CurveSegDiamUL,CurveSegSqrDR,CurveSegDiamUL+CurveSegSqrDR,0,0,0,0,0,0,0,0,1,0,0,1,Square,Square,1,Circle,Diamond,,,,,Circle,Square
Center,CurveSegDiamDL,CurveSegSqrUR,CurveSegDiamDL+CurveSegSqrUR,0,0,0,0,0,0,0,0,0,1,1,0,Diamond,Diamond,2,,,Circle,Diamond,Circle,Square,,
Center,CurveSegDiamUL,CurveSegSqrUR,CurveSegDiamUL+CurveSegSqrUR,0,0,0,0,0,0,0,0,1,0,1,0,Diamond,Diamond,2,Circle,Diamond,,,Circle,Square,,
Center,CurveSegDiamDL,CurveSegSqrDR,CurveSegDiamDL+CurveSegSqrDR,0,0,0,0,0,0,0,0,0,1,0,1,Diamond,Diamond,2,,,Circle,Diamond,,,Circle,Square
Center,CurveSegDiamUL,CurveSegSqrDR,CurveSegDiamUL+CurveSegSqrDR,0,0,0,0,0,0,0,0,1,0,0,1,Diamond,Diamond,2,Circle,Diamond,,,,,Circle,Square
Center,CurveSegSqrDL,CurveSegDiamUR,CurveSegSqrDL+CurveSegDiamUR,0,0,0,0,0,0,0,0,0,1,1,0,Square,Square,1,,,Circle,Square,Circle,Diamond,,
Center,CurveSegSqrUL,CurveSegDiamUR,CurveSegSqrUL+CurveSegDiamUR,0,0,0,0,0,0,0,0,1,0,1,0,Square,Square,1,Circle,Square,,,Circle,Diamond,,
Center,CurveSegSqrDL,CurveSegDiamDR,CurveSegSqrDL+CurveSegDiamDR,0,0,0,0,0,0,0,0,0,1,0,1,Square,Square,1,,,Circle,Square,,,Circle,Diamond
Center,CurveSegSqrUL,CurveSegDiamDR,CurveSegSqrUL+CurveSegDiamDR,0,0,0,0,0,0,0,0,1,0,0,1,Square,Square,1,Circle,Square,,,,,Circle,Diamond
Center,CurveSegSqrDL,CurveSegDiamUR,CurveSegSqrDL+CurveSegDiamUR,0,0,0,0,0,0,0,0,0,1,1,0,Diamond,Diamond,2,,,Circle,Square,Circle,Diamond,,
Center,CurveSegSqrUL,CurveSegDiamUR,CurveSegSqrUL+CurveSegDiamUR,0,0,0,0,0,0,0,0,1,0,1,0,Diamond,Diamond,2,Circle,Square,,,Circle,Diamond,,
Center,CurveSegSqrDL,CurveSegDiamDR,CurveSegSqrDL+CurveSegDiamDR,0,0,0,0,0,0,0,0,0,1,0,1,Diamond,Diamond,2,,,Circle,Square,,,Circle,Diamond
Center,CurveSegSqrUL,CurveSegDiamDR,CurveSegSqrUL+CurveSegDiamDR,0,0,0,0,0,0,0,0,1,0,0,1,Diamond,Diamond,2,Circle,Square,,,,,Circle,Diamond
Center,CurveSegDiamDL,BlankR,CurveSegDiamDL+BlankR,0,0,0,0,0,0,0,0,0,1,0,0,Square,Square,1,,,Circle,Diamond,,,,
Center,CurveSegDiamUL,BlankR,CurveSegDiamUL+BlankR,0,0,0,0,0,0,0,0,1,0,0,0,Square,Square,1,Circle,Diamond,,,,,,
Center,BlankL,CurveSegDiamDR,BlankL+CurveSegDiamDR,0,0,0,0,0,0,0,0,0,0,0,1,Square,Square,1,,,,,,,Circle,Diamond
