TargetLoc,GapL,GapR,GapUL,GapDL,GapUR,GapDR,IndicatorCenter,TargetShape,iTargetShape,IndicatorUL,IndicatorUR,IndicatorDL,IndicatorDR
Center,0,0,1,0,1,0,Square,Square,1,Square,Diamond,Diamond,Square
Center,0,0,1,0,0,1,Square,Square,1,Square,Diamond,Diamond,Square
Center,0,0,0,1,1,0,Square,Square,1,Square,Diamond,Diamond,Square
Center,0,0,0,1,0,1,Square,Square,1,Square,Diamond,Diamond,Square
Center,0,0,1,0,1,0,Square,Square,1,Square,Diamond,Diamond,Square
Center,0,0,1,0,0,1,Square,Square,1,Square,Diamond,Diamond,Square
Center,0,0,0,1,1,0,Square,Square,1,Square,Diamond,Diamond,Square
Center,0,0,0,1,0,1,Square,Square,1,Square,Diamond,Diamond,Square
Center,0,0,1,0,1,0,Square,Square,1,Diamond,Diamond,Square,Square
Center,0,0,1,0,0,1,Square,Square,1,Diamond,Diamond,Square,Square
Center,0,0,0,1,1,0,Square,Square,1,Diamond,Diamond,Square,Square
Center,0,0,0,1,0,1,Square,Square,1,Diamond,Diamond,Square,Square
Center,0,0,1,0,1,0,Square,Square,1,Diamond,Diamond,Square,Square
Center,0,0,1,0,0,1,Square,Square,1,Diamond,Diamond,Square,Square
Center,0,0,0,1,1,0,Square,Square,1,Diamond,Diamond,Square,Square
Center,0,0,0,1,0,1,Square,Square,1,Diamond,Diamond,Square,Square
Center,0,0,1,0,1,0,Diamond,Diamond,2,Square,Square,Diamond,Diamond
Center,0,0,1,0,0,1,Diamond,Diamond,2,Square,Square,Diamond,Diamond
Center,0,0,0,1,1,0,Diamond,Diamond,2,Square,Square,Diamond,Diamond
Center,0,0,0,1,0,1,Diamond,Diamond,2,Square,Square,Diamond,Diamond
Center,0,0,1,0,1,0,Diamond,Diamond,2,Square,Square,Diamond,Diamond
Center,0,0,1,0,0,1,Diamond,Diamond,2,Square,Square,Diamond,Diamond
Center,0,0,0,1,1,0,Diamond,Diamond,2,Square,Square,Diamond,Diamond
Center,0,0,0,1,0,1,Diamond,Diamond,2,Square,Square,Diamond,Diamond
Center,0,0,1,0,1,0,Diamond,Diamond,2,Diamond,Square,Square,Diamond
Center,0,0,1,0,0,1,Diamond,Diamond,2,Diamond,Square,Square,Diamond
Center,0,0,0,1,1,0,Diamond,Diamond,2,Diamond,Square,Square,Diamond
Center,0,0,0,1,0,1,Diamond,Diamond,2,Diamond,Square,Square,Diamond
Center,0,0,1,0,1,0,Diamond,Diamond,2,Diamond,Square,Square,Diamond
Center,0,0,1,0,0,1,Diamond,Diamond,2,Diamond,Square,Square,Diamond
Center,0,0,0,1,1,0,Diamond,Diamond,2,Diamond,Square,Square,Diamond
Center,0,0,0,1,0,1,Diamond,Diamond,2,Diamond,Square,Square,Diamond
